order_id,customer_name,order_datetime,gross_amount_paise,instrument,status
ORD-2-0000,Vivaan Tiwari,2025-01-19T13:38:00,1971314,CARD_CREDIT,captured
ORD-2-0001,Damyanti Chaudhuri,2025-01-17T12:27:00,4840202,NETBANKING,refunded_partial
ORD-2-0002,Abhimanyu Chacko,2025-01-17T13:26:00,1065087,CARD_CREDIT,captured
ORD-2-0003,Vritti Sengupta,2025-01-17T18:36:00,4166078,CARD_DEBIT,captured
ORD-2-0004,Yasti Madan,2025-01-19T22:04:00,2617236,CARD_DEBIT,captured
ORD-2-0005,Dayamai Doctor,2025-01-17T22:22:00,3949041,CARD_CREDIT,captured
ORD-2-0006,Darpan Tara,2025-01-19T12:30:00,3210710,CARD_CREDIT,captured
ORD-2-0007,Meghana Thakur,2025-01-14T22:09:00,1072751,CARD_CREDIT,captured
ORD-2-0008,Chandani Balay,2025-01-17T22:10:00,3943539,CARD_CREDIT,captured
ORD-2-0009,Aachal Sengupta,2025-01-17T11:58:00,3006557,CARD_CREDIT,captured
ORD-2-0010,Ishani Sabharwal,2025-01-19T14:59:00,3960909,UPI,captured
ORD-2-0011,Vamakshi Tripathi,2025-01-17T17:38:00,4951757,CARD_DEBIT,captured
ORD-2-0012,Noah Ranganathan,2025-01-18T12:59:00,1796054,CARD_DEBIT,refunded_partial
ORD-2-0013,Harrison Joshi,2025-01-13T15:40:00,4317933,UPI,refunded_partial
ORD-2-0014,Ekaja Ravel,2025-01-19T13:29:00,1162663,UPI,captured
ORD-2-0015,Megha Kanda,2025-01-13T16:15:00,4973929,CARD_DEBIT,refunded_full
ORD-2-0016,Ishwar Tandon,2025-01-16T13:21:00,1893256,UPI,captured
ORD-2-0017,Jagdish Gera,2025-01-19T16:15:00,302516,CARD_CREDIT,captured
ORD-2-0018,Faras Tailor,2025-01-18T17:22:00,3907186,CARD_CREDIT,captured
ORD-2-0019,Madhavi Dey,2025-01-19T08:15:00,1985710,CARD_DEBIT,refunded_partial
ORD-2-0020,Ekalinga Mukhopadhyay,2025-01-19T16:41:00,3815182,CARD_DEBIT,captured
ORD-2-0021,Yamini Vaidya,2025-01-15T09:36:00,1409805,CARD_DEBIT,captured
ORD-2-0022,Upma Murthy,2025-01-14T09:48:00,3891884,CARD_CREDIT,captured
ORD-2-0023,Vasatika Menon,2025-01-18T11:52:00,2154157,NETBANKING,captured
ORD-2-0024,Irya Singh,2025-01-18T21:44:00,3632903,UPI,captured
ORD-2-0025,Christopher Gopal,2025-01-19T11:36:00,2347806,CARD_CREDIT,captured
ORD-2-0026,Benjamin Karan,2025-01-14T19:31:00,1558398,CARD_CREDIT,captured
ORD-2-0027,Gautami Tara,2025-01-16T21:06:00,3537104,CARD_CREDIT,captured
ORD-2-0028,Varenya Raj,2025-01-19T17:41:00,4460400,UPI,captured
ORD-2-0029,Yoshita Kurian,2025-01-16T17:45:00,2365586,NETBANKING,captured
ORD-2-0030,Bakhshi Nori,2025-01-19T12:51:00,4194402,CARD_CREDIT,captured
ORD-2-0031,Champak Ahluwalia,2025-01-19T21:32:00,3904162,UPI,refunded_partial
ORD-2-0032,Zaitra Lata,2025-01-14T19:29:00,1832490,CARD_CREDIT,captured
ORD-2-0033,Lohit Date,2025-01-19T11:34:00,3983754,CARD_DEBIT,captured
ORD-2-0034,Arin Vaidya,2025-01-17T09:18:00,4635182,UPI,captured
ORD-2-0035,Agastya Shanker,2025-01-16T08:34:00,146494,NETBANKING,captured
ORD-2-0035-D,Agastya Shanker,2025-01-16T08:37:37,146494,NETBANKING,captured
ORD-2-0036,Hredhaan Deo,2025-01-13T08:01:00,4701407,CARD_DEBIT,captured
ORD-2-0037,Vrinda Anand,2025-01-16T22:30:00,3688043,UPI,refunded_full
ORD-2-0038,Om Singh,2025-01-18T09:12:00,2817227,CARD_DEBIT,captured
ORD-2-0039,Chakradhar Trivedi,2025-01-19T11:26:00,4276453,CARD_CREDIT,captured
ORD-2-0040,Ishanvi Vala,2025-01-13T10:35:00,3164485,UPI,captured
ORD-2-0041,Nidhi Sarkar,2025-01-14T10:45:00,3596777,UPI,captured
ORD-2-0042,Jagat Mannan,2025-01-13T21:40:00,1804724,CARD_DEBIT,captured
ORD-2-0043,Yochana Sandhu,2025-01-15T13:09:00,4602860,CARD_CREDIT,captured
ORD-2-0044,Rajeshri Ratti,2025-01-13T17:50:00,1168940,CARD_CREDIT,captured
ORD-2-0044-D,Rajeshri Ratti,2025-01-13T17:52:34,1168940,CARD_CREDIT,captured
ORD-2-0045,Peter Bansal,2025-01-16T12:27:00,3367200,CARD_DEBIT,captured
ORD-2-0046,Kamya Kara,2025-01-13T08:03:00,3080813,UPI,captured
ORD-2-0047,Yuvraj Chandra,2025-01-13T18:50:00,1439290,UPI,captured
ORD-2-0048,Vihaan Sengupta,2025-01-17T15:30:00,2452263,NETBANKING,captured
ORD-2-0049,Krisha Doshi,2025-01-14T22:48:00,2928021,UPI,refunded_partial
ORD-2-0050,Barkha Prasad,2025-01-19T21:12:00,2386910,UPI,captured
ORD-2-0051,Nimrat Gill,2025-01-15T20:42:00,1965226,CARD_DEBIT,refunded_partial
ORD-2-0052,Dayamai Kala,2025-01-16T16:51:00,636564,CARD_DEBIT,captured
ORD-2-0052-D,Dayamai Kala,2025-01-16T16:57:56,636564,CARD_DEBIT,captured
ORD-2-0053,Urvashi Seth,2025-01-15T09:17:00,2539941,NETBANKING,captured
ORD-2-0054,Libni Parsa,2025-01-18T20:23:00,2947560,UPI,captured
ORD-2-0055,Rajata Seshadri,2025-01-18T10:35:00,2649077,CARD_DEBIT,captured
ORD-2-0056,Nathaniel Rao,2025-01-17T14:45:00,587256,UPI,refunded_partial
ORD-2-0057,Ekansh Kapadia,2025-01-17T17:59:00,736986,UPI,captured
ORD-2-0058,Raksha Prasad,2025-01-18T17:17:00,539673,UPI,captured
ORD-2-0059,Vanya Varghese,2025-01-15T14:45:00,4349656,CARD_CREDIT,captured
