order_id,customer_name,order_datetime,gross_amount_paise,instrument,status
ORD-3-0000,Vivaan Shroff,2025-01-23T11:29:00,2917688,CARD_CREDIT,captured
ORD-3-0001,Yadavi Sharaf,2025-01-26T16:09:00,1522451,CARD_DEBIT,captured
ORD-3-0002,Amol Sekhon,2025-01-23T13:05:00,3197916,UPI,captured
ORD-3-0003,Omya Dubey,2025-01-23T14:51:00,3963581,UPI,refunded_partial
ORD-3-0004,Sachi Sodhi,2025-01-22T16:56:00,1403236,UPI,captured
ORD-3-0005,Lila Bedi,2025-01-24T13:43:00,2712878,CARD_CREDIT,captured
ORD-3-0006,Jeevika Dayal,2025-01-25T17:17:00,4814645,UPI,captured
ORD-3-0007,Hemangini Shukla,2025-01-21T10:02:00,3431199,CARD_CREDIT,refunded_partial
ORD-3-0008,Neel Hari,2025-01-20T19:24:00,4876072,UPI,refunded_full
ORD-3-0009,Eiravati Chakrabarti,2025-01-26T15:16:00,489099,CARD_CREDIT,captured
ORD-3-0010,Dhruv Chad,2025-01-26T22:02:00,1289756,CARD_CREDIT,captured
ORD-3-0011,Daksh Sahota,2025-01-22T20:42:00,4517468,CARD_DEBIT,captured
ORD-3-0012,Anmol Loyal,2025-01-24T18:51:00,4384461,UPI,captured
ORD-3-0013,Qushi Sarin,2025-01-20T15:46:00,3152493,CARD_DEBIT,captured
ORD-3-0014,Chaitaly Chahal,2025-01-20T14:30:00,4410255,CARD_DEBIT,captured
ORD-3-0015,Riya Mangat,2025-01-24T08:42:00,22822,CARD_CREDIT,captured
ORD-3-0016,Theodore Hayre,2025-01-21T17:06:00,55153,NETBANKING,captured
ORD-3-0017,Baljiwan Bains,2025-01-21T09:25:00,3663162,CARD_CREDIT,captured
ORD-3-0018,Xiti Dhawan,2025-01-20T13:29:00,572147,UPI,captured
ORD-3-0019,Deepa Trivedi,2025-01-23T13:17:00,2071536,NETBANKING,captured
ORD-3-0020,Harinakshi Rana,2025-01-25T15:51:00,4461848,CARD_CREDIT,captured
ORD-3-0020-D,Harinakshi Rana,2025-01-25T15:53:15,4461848,CARD_CREDIT,captured
ORD-3-0021,Jhalak Chopra,2025-01-25T22:18:00,4081405,CARD_DEBIT,captured
ORD-3-0022,Yashodhara Sura,2025-01-26T15:01:00,4403721,UPI,captured
ORD-3-0023,Panini Issac,2025-01-22T12:47:00,3556519,UPI,captured
