order_id,customer_name,order_datetime,gross_amount_paise,instrument,status
ORD-4-0000,Yahvi Goswami,2025-01-31T08:32:00,4845220,CARD_CREDIT,captured
ORD-4-0000-D,Yahvi Goswami,2025-01-31T08:37:05,4845220,CARD_CREDIT,captured
ORD-4-0001,Abdul Saini,2025-01-31T12:12:00,145088,UPI,captured
ORD-4-0002,Devansh Lata,2025-01-29T13:38:00,2244426,CARD_DEBIT,refunded_partial
ORD-4-0003,Aachal Dara,2025-01-29T17:22:00,854895,CARD_CREDIT,captured
ORD-4-0004,Bhavna Jain,2025-01-27T17:05:00,2137545,CARD_DEBIT,captured
ORD-4-0004-D,Bhavna Jain,2025-01-27T17:10:04,2137545,CARD_DEBIT,captured
ORD-4-0005,Ayaan Yogi,2025-01-28T15:15:00,1814258,UPI,captured
ORD-4-0006,Warinder Kuruvilla,2025-01-29T17:52:00,4858415,UPI,captured
ORD-4-0007,Ryan Kashyap,2025-01-29T14:22:00,3392204,UPI,captured
ORD-4-0008,Radhika Kuruvilla,2025-01-30T08:23:00,331528,NETBANKING,refunded_partial
ORD-4-0009,Amaira Desai,2025-01-29T16:11:00,3371965,UPI,captured
ORD-4-0010,Urvi Ganguly,2025-01-28T15:54:00,1954741,UPI,captured
ORD-4-0011,Vinaya Chauhan,2025-01-29T21:20:00,2645020,UPI,captured
ORD-4-0012,Falan Sanghvi,2025-02-02T20:10:00,3659678,UPI,captured
ORD-4-0013,Ikshita Malhotra,2025-01-29T18:34:00,4122898,UPI,captured
ORD-4-0014,Irya Chaudhuri,2025-01-29T22:56:00,3210418,CARD_DEBIT,captured
ORD-4-0015,Xavier Kale,2025-01-30T18:04:00,88857,CARD_DEBIT,captured
ORD-4-0016,Madhav Rout,2025-01-31T21:24:00,4193123,CARD_DEBIT,captured
ORD-4-0017,Jackson Solanki,2025-01-31T12:48:00,46565,CARD_DEBIT,captured
ORD-4-0018,Daniel Buch,2025-02-02T16:01:00,936043,CARD_CREDIT,captured
ORD-4-0019,Peter Dhar,2025-01-31T10:48:00,4535911,CARD_CREDIT,captured
ORD-4-0020,Netra Rau,2025-02-02T13:07:00,4645229,CARD_CREDIT,captured
ORD-4-0021,Darika Talwar,2025-02-02T14:23:00,2645264,UPI,captured
